200, 0.8551291349999999, 0.7059, 0.34515, 0.5, 0.10005
192, 0.85392532, 0.7066, 0.3399, 0.49225, 0.10005
10, 0.7697541999999999, 0.6913, 0.5883, 0.3202, 0.1
20, 0.8054507399999999, 0.5946, 0.5197, 0.39635, 0.1
30, 0.8323312400000001, 0.5433, 0.51105, 0.42615, 0.1
40, 0.8120080949999999, 0.5709, 0.53315, 0.40145, 0.1
50, 0.83623467, 0.5345, 0.50255, 0.4241, 0.1
60, 0.8047499199999999, 0.5667, 0.50925, 0.39935, 0.1
70, 0.834190425, 0.5073, 0.50235, 0.4281, 0.1
80, 0.8489946300000001, 0.4819, 0.52205, 0.4323, 0.1
90, 0.81043981, 0.5812, 0.52315, 0.40415, 0.1
100, 0.788191915, 0.6241, 0.54705, 0.3696, 0.1
110, 0.8819055849999999, 0.4943, 0.4079, 0.49255, 0.1
120, 0.88240857, 0.4915, 0.42265, 0.50095, 0.09995
130, 0.849128345, 0.6069, 0.40985, 0.4595, 0.1
140, 0.86275373, 0.539, 0.42525, 0.47685, 0.1
150, 0.876460165, 0.4895, 0.4516, 0.4933, 0.09995
160, 0.8625892049999999, 0.6405, 0.37505, 0.50035, 0.10005
170, 0.853451125, 0.6945, 0.35065, 0.48955, 0.09995
180, 0.86437922, 0.6259, 0.36435, 0.50325, 0.1
190, 0.852474785, 0.7054, 0.34865, 0.49355, 0.10005
200, 0.8551291349999999, 0.7059, 0.34515, 0.5, 0.10005
