200, 0.95444281, 0.0833, 0.46045, 0.50525, 0.0572
195, 0.955638375, 0.0847, 0.4814, 0.4814, 0.0344
10, 0.467750335, 0.7254, 0.45795, 0.2591, 0.10035
20, 0.775602495, 0.7298, 0.484, 0.27465, 0.1001
30, 0.707201445, 0.4733, 0.52245, 0.36975, 0.10015
40, 0.89980661, 0.1558, 0.5377, 0.4903, 0.0998
50, 0.983487845, 0.0287, 0.4951, 0.4951, 0.0847
60, 0.9082018499999999, 0.1431, 0.54165, 0.4957, 0.1001
70, 0.9724801649999999, 0.0602, 0.55865, 0.5202, 0.10005
80, 0.7093777100000002, 0.4105, 0.46675, 0.4082, 0.09985
90, 0.866472015, 0.2238, 0.5318, 0.46975, 0.0999
100, 0.9053192349999999, 0.127, 0.5485, 0.497, 0.0999
110, 0.9450109449999999, 0.0928, 0.5071, 0.5446, 0.10025
120, 0.8944314349999999, 0.1664, 0.48435, 0.52035, 0.10005
130, 0.9471840800000001, 0.0585, 0.52, 0.55195, 0.10205
140, 0.96145903, 0.0762, 0.51935, 0.544, 0.0998
150, 0.97853611, 0.0429, 0.47885, 0.47885, 0.0313
160, 0.96280542, 0.0743, 0.46345, 0.46345, 0.01255
170, 0.92315252, 0.0785, 0.48865, 0.55345, 0.1038
180, 0.93765511, 0.0786, 0.46845, 0.55485, 0.10515
190, 0.95883354, 0.0823, 0.45905, 0.45905, 0.01135
200, 0.95444281, 0.0833, 0.46045, 0.50525, 0.0572
