200, 0.7894275700000001, 0.5693, 0.32635, 0.4314, 0.10015
195, 0.84384743, 0.4328, 0.3868, 0.47385, 0.09995
10, 0.8904949400000001, 0.3344, 0.6124, 0.40365, 0.1
20, 0.922050935, 0.2322, 0.5729, 0.4679, 0.1
30, 0.8792115899999999, 0.3364, 0.58505, 0.42505, 0.1
40, 0.919883615, 0.2067, 0.5409, 0.48705, 0.1
50, 0.9095986450000001, 0.3362, 0.5614, 0.46965, 0.1
60, 0.914466815, 0.268, 0.5381, 0.48265, 0.1002
70, 0.928088205, 0.2205, 0.54, 0.49445, 0.09995
80, 0.83439427, 0.4426, 0.5077, 0.43775, 0.09995
90, 0.94008742, 0.1779, 0.56, 0.49445, 0.1
100, 0.938581, 0.1659, 0.56355, 0.50125, 0.10005
110, 0.9626129499999999, 0.0928, 0.51545, 0.5549, 0.10015
120, 0.903107815, 0.2503, 0.4685, 0.51325, 0.09995
130, 0.93102297, 0.208, 0.49505, 0.53675, 0.1
140, 0.9367859749999998, 0.1947, 0.50285, 0.533, 0.1001
150, 0.9417150000000001, 0.1409, 0.51335, 0.5339, 0.1001
160, 0.9092405750000001, 0.2076, 0.4673, 0.5286, 0.09995
170, 0.887258295, 0.2746, 0.44505, 0.51195, 0.1
180, 0.78055564, 0.5941, 0.32195, 0.4198, 0.10005
190, 0.7936032500000001, 0.5663, 0.33215, 0.4322, 0.1
200, 0.7894275700000001, 0.5693, 0.32635, 0.4314, 0.10015
