200, 0.9091196949999999, 0.246, 0.46125, 0.52725, 0.1
192, 0.895370925, 0.2796, 0.44895, 0.51745, 0.1001
10, 0.805846435, 0.6455, 0.6025, 0.34045, 0.1
20, 0.8617246150000001, 0.5934, 0.54795, 0.4215, 0.09995
30, 0.88840852, 0.2419, 0.5393, 0.4771, 0.1001
40, 0.7811262999999999, 0.5872, 0.51575, 0.38475, 0.10005
50, 0.9155968350000001, 0.2572, 0.5438, 0.48255, 0.1
60, 0.9005184999999999, 0.2843, 0.5484, 0.46335, 0.10005
70, 0.91222985, 0.2246, 0.54695, 0.4908, 0.1
80, 0.914322245, 0.3078, 0.54905, 0.4702, 0.10005
90, 0.914569835, 0.2609, 0.5639, 0.47115, 0.10005
100, 0.83139328, 0.4334, 0.5604, 0.40825, 0.1
110, 0.916982465, 0.1971, 0.47565, 0.5264, 0.10005
120, 0.92163434, 0.1962, 0.4825, 0.5279, 0.0999
130, 0.8549473699999999, 0.4086, 0.445, 0.4793, 0.1001
140, 0.9166310449999999, 0.2188, 0.48555, 0.5189, 0.1
150, 0.8624210149999999, 0.4994, 0.44715, 0.4874, 0.09995
160, 0.90322572, 0.2493, 0.45725, 0.517, 0.1
170, 0.89643211, 0.2758, 0.45215, 0.51465, 0.10005
180, 0.921942345, 0.2072, 0.4709, 0.5321, 0.1
190, 0.8568847350000001, 0.4451, 0.4085, 0.4924, 0.1
200, 0.9091196949999999, 0.246, 0.46125, 0.52725, 0.1
