epoch accuracy testloss trainloss
85 85.83 0.00437 0.00301
86 81.23 0.00583 0.00299
87 83.38 0.00552 0.00297
88 84.52 0.00508 0.00305
89 83.34 0.00533 0.00297
90 85.48 0.00462 0.00298
91 82.12 0.00601 0.00291
92 83.81 0.00529 0.00293
93 85.09 0.00458 0.00300
94 78.69 0.00704 0.00298
95 81.89 0.00616 0.00292
96 84.33 0.00493 0.00304
97 85.08 0.00477 0.00297
98 85.21 0.00502 0.00292
99 82.83 0.00551 0.00291
100 85.16 0.00464 0.00291
101 93.11 0.00210 0.00161
102 92.84 0.00219 0.00125
103 94.11 0.00188 0.00111
104 94.03 0.00191 0.00097
105 93.95 0.00197 0.00090
106 94.25 0.00189 0.00084
107 94.12 0.00190 0.00077
108 93.86 0.00202 0.00072
109 93.80 0.00211 0.00068
110 93.79 0.00212 0.00066
111 93.59 0.00212 0.00062
112 93.92 0.00208 0.00061
113 93.77 0.00207 0.00059
114 93.84 0.00207 0.00056
115 93.73 0.00209 0.00054
116 94.27 0.00192 0.00052
117 94.34 0.00201 0.00049
118 93.81 0.00221 0.00050
119 94.23 0.00222 0.00048
120 93.91 0.00233 0.00048
121 93.93 0.00226 0.00045
122 93.60 0.00236 0.00048
123 93.64 0.00235 0.00049
124 94.35 0.00211 0.00048
125 93.96 0.00231 0.00044
126 94.07 0.00230 0.00044
127 93.09 0.00260 0.00047
128 92.83 0.00272 0.00046
129 93.55 0.00242 0.00046
130 93.68 0.00242 0.00047
131 94.13 0.00206 0.00045
132 93.61 0.00243 0.00046
133 93.94 0.00229 0.00047
134 93.56 0.00245 0.00045
135 93.36 0.00264 0.00048
136 94.01 0.00232 0.00048
137 93.36 0.00255 0.00050
138 93.32 0.00253 0.00050
139 93.54 0.00248 0.00049
140 93.38 0.00238 0.00049
141 93.98 0.00229 0.00048
142 93.03 0.00274 0.00046
143 93.42 0.00251 0.00047
144 93.56 0.00255 0.00047
145 93.24 0.00258 0.00048
146 93.50 0.00242 0.00048
147 93.96 0.00235 0.00045
148 92.96 0.00268 0.00051
149 93.47 0.00257 0.00050
150 93.19 0.00264 0.00052
151 94.71 0.00197 0.00025
152 95.02 0.00193 0.00017
153 94.92 0.00197 0.00014
154 94.92 0.00203 0.00012
155 95.03 0.00198 0.00011
156 94.98 0.00200 0.00010
157 94.91 0.00204 0.00010
158 94.87 0.00209 0.00009
159 95.06 0.00206 0.00008
160 95.15 0.00195 0.00009
161 95.24 0.00197 0.00009
162 95.22 0.00201 0.00008
163 95.01 0.00204 0.00007
164 95.20 0.00200 0.00007
165 95.09 0.00207 0.00007
166 95.17 0.00197 0.00006
167 94.94 0.00208 0.00007
168 95.26 0.00199 0.00006
169 95.24 0.00193 0.00006
170 95.17 0.00201 0.00006
171 95.27 0.00194 0.00006
172 95.24 0.00197 0.00006
173 95.14 0.00206 0.00006
174 95.47 0.00194 0.00005
175 95.14 0.00201 0.00005
176 95.11 0.00204 0.00005
177 95.16 0.00201 0.00005
178 94.91 0.00212 0.00005
179 95.07 0.00209 0.00005
180 95.27 0.00195 0.00005
181 95.18 0.00203 0.00005
182 95.30 0.00203 0.00005
183 95.00 0.00212 0.00005
184 95.12 0.00203 0.00005
185 95.25 0.00208 0.00005
186 95.03 0.00212 0.00005
187 95.24 0.00200 0.00005
188 95.27 0.00199 0.00004
189 95.07 0.00202 0.00004
190 95.20 0.00204 0.00005
191 94.97 0.00211 0.00004
192 95.11 0.00203 0.00004
193 95.00 0.00209 0.00004
194 95.04 0.00207 0.00004
195 95.41 0.00198 0.00004
196 95.14 0.00208 0.00004
197 95.09 0.00205 0.00004
198 95.30 0.00202 0.00004
199 95.15 0.00208 0.00004
200 95.31 0.00197 0.00004
