epoch accuracy testloss trainloss
1 48.22 0.01485 0.01280
2 53.98 0.01428 0.00905
3 61.10 0.01212 0.00765
4 52.22 0.01937 0.00671
5 60.62 0.01337 0.00599
6 63.38 0.01233 0.00541
7 71.53 0.00934 0.00507
8 72.44 0.00967 0.00480
9 77.70 0.00693 0.00465
10 75.81 0.00793 0.00453
11 80.47 0.00643 0.00433
12 78.64 0.00667 0.00423
13 76.91 0.00786 0.00408
14 76.00 0.00740 0.00406
15 77.21 0.00752 0.00393
16 72.64 0.01004 0.00385
17 76.65 0.00810 0.00380
18 77.97 0.00746 0.00379
19 80.86 0.00639 0.00374
20 82.59 0.00558 0.00365
21 80.91 0.00594 0.00360
22 80.50 0.00610 0.00359
23 84.38 0.00487 0.00351
24 80.19 0.00595 0.00356
25 82.36 0.00605 0.00351
26 79.68 0.00714 0.00340
27 78.88 0.00658 0.00344
28 82.98 0.00538 0.00339
29 77.56 0.00762 0.00339
30 78.60 0.00695 0.00333
31 83.39 0.00513 0.00337
32 83.96 0.00487 0.00332
33 81.06 0.00635 0.00326
34 82.94 0.00574 0.00323
35 80.09 0.00629 0.00327
36 82.04 0.00599 0.00326
37 79.68 0.00667 0.00322
38 84.24 0.00516 0.00322
39 82.83 0.00590 0.00322
40 86.39 0.00412 0.00318
41 83.09 0.00525 0.00320
42 84.87 0.00477 0.00315
43 81.20 0.00622 0.00317
44 82.29 0.00598 0.00313
45 86.37 0.00435 0.00319
46 83.11 0.00558 0.00314
47 83.21 0.00562 0.00307
48 80.64 0.00639 0.00316
49 83.06 0.00518 0.00315
50 84.32 0.00481 0.00309
51 81.91 0.00572 0.00310
52 79.53 0.00693 0.00309
53 86.52 0.00421 0.00311
54 83.35 0.00530 0.00310
55 78.84 0.00742 0.00311
56 83.22 0.00532 0.00303
57 84.85 0.00469 0.00308
58 82.63 0.00587 0.00305
59 85.29 0.00453 0.00306
60 86.33 0.00424 0.00303
61 83.63 0.00507 0.00306
62 82.82 0.00599 0.00308
63 81.88 0.00596 0.00301
64 81.17 0.00638 0.00301
65 79.48 0.00705 0.00304
66 82.17 0.00572 0.00305
67 84.78 0.00456 0.00304
68 77.58 0.00753 0.00305
69 82.21 0.00562 0.00301
70 86.35 0.00416 0.00303
71 82.07 0.00622 0.00303
72 84.94 0.00464 0.00303
73 84.96 0.00478 0.00299
74 85.74 0.00450 0.00299
75 85.80 0.00435 0.00302
76 82.84 0.00591 0.00301
77 82.97 0.00552 0.00302
78 84.33 0.00506 0.00297
79 77.53 0.00835 0.00301
80 86.41 0.00409 0.00298
81 84.26 0.00491 0.00300
82 86.07 0.00449 0.00298
83 83.45 0.00543 0.00298
84 83.90 0.00518 0.00297
