200, 0.735196245, 0.4444, 0.379, 0.4305, 0.10005
192, 0.8353052499999999, 0.2671, 0.4515, 0.49075, 0.09985
10, 0.45224593, 0.7584, 0.47925, 0.24675, 0.0999
20, 0.6409318500000001, 0.5653, 0.46895, 0.3526, 0.0999
30, 0.6156972250000001, 0.5514, 0.4399, 0.35545, 0.0999
40, 0.6199667600000001, 0.5463, 0.4745, 0.352, 0.09995
50, 0.9015472400000001, 0.1681, 0.5507, 0.48145, 0.0999
60, 0.47958898, 0.6062, 0.4082, 0.3136, 0.1
70, 0.941004295, 0.0963, 0.5637, 0.49905, 0.09995
80, 0.8521204600000001, 0.1961, 0.5472, 0.4671, 0.1
90, 0.7935256600000001, 0.3064, 0.53635, 0.432, 0.10005
100, 0.96278395, 0.0589, 0.6101, 0.47005, 0.09995
110, 0.96119845, 0.0585, 0.52285, 0.55145, 0.1005
120, 0.92797474, 0.1012, 0.5128, 0.5365, 0.1
130, 0.9742027599999998, 0.0436, 0.53655, 0.54525, 0.10005
140, 0.9766267449999999, 0.0353, 0.53685, 0.54825, 0.10015
150, 0.9335477999999999, 0.101, 0.5224, 0.5328, 0.10065
160, 0.8880407249999999, 0.1696, 0.484, 0.5206, 0.1002
170, 0.8404403599999998, 0.2446, 0.4574, 0.49415, 0.0997
180, 0.8648588150000001, 0.2161, 0.4695, 0.507, 0.09985
190, 0.84556589, 0.2413, 0.45775, 0.49645, 0.1
200, 0.735196245, 0.4444, 0.379, 0.4305, 0.10005
